pair_id,phenomenon,model,total_surprisal_s,total_surprisal_cf,avg_surprisal_s,avg_surprisal_cf,delta_total_surprisal,delta_avg_surprisal,abs_delta_avg_surprisal,key_region_surprisal_s,key_region_surprisal_cf,delta_key_region_surprisal,key_region_count_s,key_region_count_cf
attach_000001,attachment,gpt2,53.551639556884766,52.831016540527344,5.95018196105957,5.870112895965576,-0.7206230163574219,-0.08006906509399414,0.08006906509399414,23.898115396499634,21.802091121673584,-2.09602427482605,3,3
attach_000002,attachment,gpt2,45.89147186279297,48.75616455078125,5.736433982849121,5.417351722717285,2.8646926879882812,-0.31908226013183594,0.31908226013183594,21.81285071372986,20.78497052192688,-1.0278801918029785,4,3
attach_000003,attachment,gpt2,46.6209831237793,51.80889892578125,5.827622890472412,5.75654411315918,5.187915802001953,-0.07107877731323242,0.07107877731323242,23.924355506896973,21.036415815353394,-2.887939691543579,4,3
attach_000004,attachment,gpt2,50.61808395385742,52.27736282348633,5.624231338500977,5.808595657348633,1.6592788696289062,0.18436431884765625,0.18436431884765625,21.436739206314087,22.874942302703857,1.4382030963897705,3,3
attach_000005,attachment,gpt2,39.23705291748047,42.90910339355469,4.904631614685059,4.767678260803223,3.6720504760742188,-0.13695335388183594,0.13695335388183594,17.49280023574829,17.085113048553467,-0.4076871871948242,4,3
attach_000006,attachment,gpt2,43.28611755371094,49.26513671875,5.410764694213867,5.473904132843018,5.9790191650390625,0.06313943862915039,0.06313943862915039,20.775697231292725,18.335211753845215,-2.4404854774475098,4,3
attach_000007,attachment,gpt2,48.07817459106445,47.02899169921875,5.342019557952881,5.225443363189697,-1.0491828918457031,-0.1165761947631836,0.1165761947631836,20.825066804885864,18.894691944122314,-1.9303748607635498,3,3
attach_000008,attachment,gpt2,42.44739532470703,48.0511360168457,5.305924415588379,5.339015007019043,5.603740692138672,0.03309059143066406,0.03309059143066406,21.53180158138275,20.86882996559143,-0.6629716157913208,4,3
attach_000009,attachment,gpt2,47.92313766479492,52.08907699584961,5.990392208099365,5.787675380706787,4.1659393310546875,-0.20271682739257812,0.20271682739257812,24.316420316696167,22.03301239013672,-2.2834079265594482,4,3
attach_000010,attachment,gpt2,47.454280853271484,47.986793518066406,5.272697925567627,5.3318657875061035,0.5325126647949219,0.05916786193847656,0.05916786193847656,20.112086534500122,19.400662422180176,-0.7114241123199463,3,3
attach_000011,attachment,gpt2,38.99039077758789,44.8699951171875,4.873798847198486,4.985555171966553,5.879604339599609,0.1117563247680664,0.1117563247680664,18.158904790878296,18.856468439102173,0.697563648223877,4,3
attach_000012,attachment,gpt2,49.552032470703125,52.14680099487305,6.194004058837891,5.794088840484619,2.594768524169922,-0.3999152183532715,0.3999152183532715,27.557183861732483,20.929461240768433,-6.62772262096405,4,3
attach_000013,attachment,gpt2,46.481834411621094,49.561424255371094,5.164648056030273,5.506824970245361,3.07958984375,0.3421769142150879,0.3421769142150879,19.99225115776062,19.51679515838623,-0.47545599937438965,3,3
attach_000014,attachment,gpt2,39.73497009277344,46.41047668457031,4.96687126159668,5.15671968460083,6.675506591796875,0.1898484230041504,0.1898484230041504,17.17162024974823,18.378630876541138,1.2070106267929077,4,3
attach_000015,attachment,gpt2,48.19607925415039,53.98949432373047,6.024509906768799,5.998832702636719,5.793415069580078,-0.025677204132080078,0.025677204132080078,25.16294491291046,24.038854598999023,-1.124090313911438,4,3
attach_000016,attachment,gpt2,44.078086853027344,40.677886962890625,4.8975653648376465,4.519765377044678,-3.4001998901367188,-0.37779998779296875,0.37779998779296875,22.35188126564026,19.687296867370605,-2.6645843982696533,3,3
attach_000017,attachment,gpt2,47.42604446411133,50.978675842285156,5.928255558013916,5.664297103881836,3.552631378173828,-0.2639584541320801,0.2639584541320801,23.597338676452637,21.054401636123657,-2.5429370403289795,4,3
attach_000018,attachment,gpt2,44.032257080078125,46.62257766723633,5.504032135009766,5.180286407470703,2.590320587158203,-0.3237457275390625,0.3237457275390625,21.34197199344635,18.95798635482788,-2.3839856386184692,4,3
attach_000019,attachment,gpt2,47.44602966308594,51.070762634277344,5.271780967712402,5.674529075622559,3.6247329711914062,0.40274810791015625,0.40274810791015625,23.68062710762024,20.69159507751465,-2.989032030105591,3,3
attach_000020,attachment,gpt2,44.470481872558594,48.68660354614258,5.558810234069824,5.409622669219971,4.216121673583984,-0.14918756484985352,0.14918756484985352,20.08632779121399,21.589645624160767,1.5033178329467773,4,3
attach_000021,attachment,gpt2,41.55437469482422,48.710140228271484,5.194296836853027,5.412237644195557,7.155765533447266,0.2179408073425293,0.2179408073425293,19.567251324653625,17.21491050720215,-2.352340817451477,4,3
attach_000022,attachment,gpt2,46.43144607543945,48.197723388671875,5.1590495109558105,5.355302810668945,1.7662773132324219,0.19625329971313477,0.19625329971313477,20.91442036628723,19.305050373077393,-1.6093699932098389,3,3
attach_000023,attachment,gpt2,41.73533630371094,48.886024475097656,5.216917037963867,5.4317803382873535,7.150688171386719,0.21486330032348633,0.21486330032348633,19.544922471046448,19.14279818534851,-0.402124285697937,4,3
attach_000024,attachment,gpt2,45.40251922607422,45.5089111328125,5.675314903259277,5.056545734405518,0.10639190673828125,-0.6187691688537598,0.6187691688537598,23.045331120491028,18.47860026359558,-4.566730856895447,4,3
attach_000025,attachment,gpt2,46.96040725708008,49.378578186035156,5.217823028564453,5.486508846282959,2.418170928955078,0.26868581771850586,0.26868581771850586,20.731142282485962,21.769653797149658,1.0385115146636963,3,3
attach_000026,attachment,gpt2,41.826576232910156,45.99229049682617,5.2283220291137695,5.110254287719727,4.165714263916016,-0.11806774139404297,0.11806774139404297,21.876187801361084,23.297830820083618,1.4216430187225342,4,3
attach_000027,attachment,gpt2,38.99039077758789,47.24380111694336,4.873798847198486,5.249311447143555,8.253410339355469,0.37551259994506836,0.37551259994506836,18.158904790878296,20.988486289978027,2.8295814990997314,4,3
attach_000028,attachment,gpt2,47.82305908203125,46.62257766723633,5.31367301940918,5.180286407470703,-1.2004814147949219,-0.13338661193847656,0.13338661193847656,20.309999704360962,18.95798635482788,-1.352013349533081,3,3
attach_000029,attachment,gpt2,44.032257080078125,47.82305908203125,5.504032135009766,5.31367301940918,3.790802001953125,-0.19035911560058594,0.19035911560058594,21.34197199344635,20.309999704360962,-1.0319722890853882,4,3
attach_000030,attachment,gpt2,48.19607925415039,53.98949432373047,6.024509906768799,5.998832702636719,5.793415069580078,-0.025677204132080078,0.025677204132080078,25.16294491291046,24.038854598999023,-1.124090313911438,4,3
attach_000031,attachment,gpt2,49.03568649291992,50.4078483581543,5.448409557342529,5.600872039794922,1.372161865234375,0.15246248245239258,0.15246248245239258,20.878191709518433,22.120452404022217,1.2422606945037842,3,3
attach_000032,attachment,gpt2,39.64879608154297,43.91053009033203,4.956099510192871,4.878947734832764,4.2617340087890625,-0.07715177536010742,0.07715177536010742,16.980143904685974,17.80103898048401,0.8208950757980347,4,3
attach_000033,attachment,gpt2,42.719573974609375,44.435550689697266,5.339946746826172,4.937283515930176,1.7159767150878906,-0.4026632308959961,0.4026632308959961,20.906132340431213,17.595080852508545,-3.3110514879226685,4,3
attach_000034,attachment,gpt2,44.846221923828125,48.82372283935547,4.982913494110107,5.424858093261719,3.9775009155273438,0.44194459915161133,0.44194459915161133,19.789119958877563,18.492656707763672,-1.2964632511138916,3,3
attach_000035,attachment,gpt2,43.81016540527344,50.36693572998047,5.47627067565918,5.5963263511657715,6.556770324707031,0.1200556755065918,0.1200556755065918,21.43722176551819,23.88461995124817,2.4473981857299805,4,3
attach_000036,attachment,gpt2,44.614410400390625,46.143951416015625,5.576801300048828,5.127105712890625,1.529541015625,-0.4496955871582031,0.4496955871582031,21.222886085510254,17.853503227233887,-3.369382858276367,4,3
attach_000037,attachment,gpt2,45.861045837402344,49.26093673706055,5.095671653747559,5.473437309265137,3.399890899658203,0.3777656555175781,0.3777656555175781,20.987322092056274,20.17633867263794,-0.810983419418335,3,3
attach_000038,attachment,gpt2,40.759132385253906,46.96040725708008,5.094891548156738,5.217823028564453,6.201274871826172,0.12293148040771484,0.12293148040771484,21.967461585998535,20.731142282485962,-1.2363193035125732,4,3
attach_000039,attachment,gpt2,44.894805908203125,52.632720947265625,5.611850738525391,5.848080158233643,7.7379150390625,0.23622941970825195,0.23622941970825195,19.15703248977661,20.134151458740234,0.977118968963623,4,3
attach_000040,attachment,gpt2,45.88801193237305,46.15544509887695,5.098668098449707,5.128382682800293,0.26743316650390625,0.029714584350585938,0.029714584350585938,22.7659170627594,23.083360195159912,0.3174431324005127,3,3
attach_000041,attachment,gpt2,46.32197570800781,48.41319274902344,5.790246963500977,5.379243850708008,2.091217041015625,-0.41100311279296875,0.41100311279296875,23.28084647655487,21.362455129623413,-1.9183913469314575,4,3
attach_000042,attachment,gpt2,40.37046813964844,48.28093338012695,5.046308517456055,5.364548206329346,7.910465240478516,0.318239688873291,0.318239688873291,18.005953550338745,19.548601627349854,1.5426480770111084,4,3
attach_000043,attachment,gpt2,44.078086853027344,40.677886962890625,4.8975653648376465,4.519765377044678,-3.4001998901367188,-0.37779998779296875,0.37779998779296875,22.35188126564026,19.687296867370605,-2.6645843982696533,3,3
attach_000044,attachment,gpt2,45.629364013671875,48.07817459106445,5.703670501708984,5.342019557952881,2.448810577392578,-0.3616509437561035,0.3616509437561035,22.357920169830322,20.825066804885864,-1.532853364944458,4,3
attach_000045,attachment,gpt2,41.19854736328125,45.65857696533203,5.149818420410156,5.073175430297852,4.460029602050781,-0.07664299011230469,0.07664299011230469,18.241029143333435,16.042993307113647,-2.1980358362197876,4,3
attach_000046,attachment,gpt2,50.662269592285156,51.9033203125,5.629140853881836,5.767035484313965,1.2410507202148438,0.1378946304321289,0.1378946304321289,22.5967800617218,24.25891637802124,1.6621363162994385,3,3
attach_000047,attachment,gpt2,48.85983657836914,49.44199752807617,6.107479572296143,5.493555068969727,0.5821609497070312,-0.613924503326416,0.613924503326416,24.42733895778656,22.501470804214478,-1.9258681535720825,4,3
attach_000048,attachment,gpt2,44.614410400390625,46.143951416015625,5.576801300048828,5.127105712890625,1.529541015625,-0.4496955871582031,0.4496955871582031,21.222886085510254,17.853503227233887,-3.369382858276367,4,3
attach_000049,attachment,gpt2,51.983985900878906,52.19700622558594,5.775998592376709,5.7996673583984375,0.21302032470703125,0.023668766021728516,0.023668766021728516,23.966528177261353,23.39024591445923,-0.576282262802124,3,3
attach_000050,attachment,gpt2,43.28611755371094,47.39455795288086,5.410764694213867,5.266061782836914,4.108440399169922,-0.14470291137695312,0.14470291137695312,20.775697231292725,20.39698052406311,-0.37871670722961426,4,3
attach_000051,attachment,gpt2,43.38507080078125,44.46263885498047,5.423133850097656,4.940293312072754,1.0775680541992188,-0.48284053802490234,0.48284053802490234,21.7498459815979,18.715428829193115,-3.034417152404785,4,3
attach_000052,attachment,gpt2,45.376792907714844,42.8565559387207,5.041865825653076,4.761839389801025,-2.5202369689941406,-0.2800264358520508,0.2800264358520508,20.470982789993286,16.009404182434082,-4.461578607559204,3,3
attach_000053,attachment,gpt2,46.62900924682617,50.505104064941406,5.8286261558532715,5.611678123474121,3.8760948181152344,-0.2169480323791504,0.2169480323791504,23.405288219451904,22.09658646583557,-1.308701753616333,4,3
attach_000054,attachment,gpt2,42.14552307128906,50.595603942871094,5.268190383911133,5.621733665466309,8.450080871582031,0.3535432815551758,0.3535432815551758,17.838972568511963,20.433171272277832,2.594198703765869,4,3
attach_000055,attachment,gpt2,47.82292175292969,44.46263885498047,5.313657760620117,4.940293312072754,-3.3602828979492188,-0.3733644485473633,0.3733644485473633,21.408112287521362,18.715428829193115,-2.692683458328247,3,3
attach_000056,attachment,gpt2,43.92014694213867,50.01457214355469,5.490018367767334,5.5571746826171875,6.094425201416016,0.06715631484985352,0.06715631484985352,23.346721410751343,24.262148141860962,0.9154267311096191,4,3
attach_000057,attachment,gpt2,46.20050811767578,54.21461868286133,5.775063514709473,6.023846626281738,8.014110565185547,0.24878311157226562,0.24878311157226562,19.825417041778564,21.364145278930664,1.5387282371520996,4,3
attach_000058,attachment,gpt2,48.726200103759766,47.76522445678711,5.414022445678711,5.307247161865234,-0.9609756469726562,-0.10677528381347656,0.10677528381347656,18.63912272453308,16.688507556915283,-1.9506151676177979,3,3
attach_000059,attachment,gpt2,48.06504821777344,49.15043640136719,6.00813102722168,5.461159706115723,1.08538818359375,-0.546971321105957,0.546971321105957,24.970881819725037,22.55812096595764,-2.412760853767395,4,3
