pair_id,phenomenon,s,s_cf,annotator_id,batch_id,human_change_0_5,confidence_1_5,fluency_s_1_5,fluency_cf_1_5,plausibility_s_1_5,plausibility_cf_1_5,changed_words,attention_check,created_at
attach_000192,attachment,The researcher saw the man with the telescope.,The researcher saw the man who had the telescope.,sim_1,pilot_simulated_v1,2.41,4.17,5.0,5.0,4.29,4.36,,True,simulated
attach_000192,attachment,The researcher saw the man with the telescope.,The researcher saw the man who had the telescope.,sim_2,pilot_simulated_v1,2.3,3.26,5.0,5.0,3.44,3.36,,True,simulated
attach_000192,attachment,The researcher saw the man with the telescope.,The researcher saw the man who had the telescope.,sim_3,pilot_simulated_v1,3.17,3.06,5.0,5.0,4.05,3.34,,True,simulated
neg_000769,negation,A raccoon is an animal.,A raccoon is not a bird.,sim_1,pilot_simulated_v1,3.27,3.66,5.0,5.0,4.54,3.97,,True,simulated
neg_000769,negation,A raccoon is an animal.,A raccoon is not a bird.,sim_2,pilot_simulated_v1,2.82,3.35,5.0,5.0,3.43,4.39,,True,simulated
neg_000769,negation,A raccoon is an animal.,A raccoon is not a bird.,sim_3,pilot_simulated_v1,4.1,4.41,5.0,5.0,4.52,4.19,,True,simulated
role_000514,role_reversal,The teacher asked which student the bully had threatened.,The teacher asked which bully the student had fought.,sim_1,pilot_simulated_v1,4.92,4.39,5.0,5.0,3.61,4.36,,True,simulated
role_000514,role_reversal,The teacher asked which student the bully had threatened.,The teacher asked which bully the student had fought.,sim_2,pilot_simulated_v1,4.18,4.31,5.0,5.0,4.1,3.69,,True,simulated
role_000514,role_reversal,The teacher asked which student the bully had threatened.,The teacher asked which bully the student had fought.,sim_3,pilot_simulated_v1,3.98,3.66,5.0,5.0,3.7,3.19,,True,simulated
neg_001275,negation,An ox is an animal.,An ox is not a plant.,sim_1,pilot_simulated_v1,4.11,4.4,5.0,5.0,4.78,4.11,,True,simulated
neg_001275,negation,An ox is an animal.,An ox is not a plant.,sim_2,pilot_simulated_v1,3.69,4.3,5.0,5.0,3.42,4.08,,True,simulated
neg_001275,negation,An ox is an animal.,An ox is not a plant.,sim_3,pilot_simulated_v1,3.51,3.15,5.0,5.0,3.52,3.84,,True,simulated
attach_000787,attachment,"With the flashlight, the student checked the driver.",The student checked the driver who had the flashlight.,sim_1,pilot_simulated_v1,2.41,3.72,5.0,5.0,4.17,3.63,,True,simulated
attach_000787,attachment,"With the flashlight, the student checked the driver.",The student checked the driver who had the flashlight.,sim_2,pilot_simulated_v1,2.21,3.78,5.0,5.0,3.58,3.38,,True,simulated
attach_000787,attachment,"With the flashlight, the student checked the driver.",The student checked the driver who had the flashlight.,sim_3,pilot_simulated_v1,2.31,3.53,5.0,5.0,3.32,4.04,,True,simulated
attach_001091,attachment,The musician observed the scientist with the microscope.,"With the microscope, the musician observed the scientist.",sim_1,pilot_simulated_v1,3.53,3.58,5.0,5.0,4.35,4.49,,True,simulated
attach_001091,attachment,The musician observed the scientist with the microscope.,"With the microscope, the musician observed the scientist.",sim_2,pilot_simulated_v1,2.07,3.08,5.0,5.0,4.49,4.34,,True,simulated
attach_001091,attachment,The musician observed the scientist with the microscope.,"With the microscope, the musician observed the scientist.",sim_3,pilot_simulated_v1,3.02,3.12,5.0,5.0,3.86,4.39,,True,simulated
role_000693,role_reversal,The teacher knew which student the bully had pushed.,The teacher knew which bully the student had reported.,sim_1,pilot_simulated_v1,4.82,4.41,5.0,5.0,3.52,4.37,,True,simulated
