model,phenomenon,layer,metric,spearman_ci_lo,spearman_ci_hi,pearson_ci_lo,pearson_ci_hi
bert-base-uncased,attachment,0,delta_cos,-0.18257852894448437,0.22324306645574432,-0.13478680665438705,0.25735125025077493
bert-base-uncased,attachment,0,delta_frob,-0.1346583413052998,0.26553879608573344,-0.18697857991603212,0.19906408222625477
bert-base-uncased,attachment,0,delta_l2,-0.12876062927747545,0.29333519605325864,-0.12641452031424408,0.2692938190571953
bert-base-uncased,attachment,0,delta_token_aligned,-0.24234359518010803,0.11843231632809068,-0.27095008756427413,0.09567167551531555
bert-base-uncased,attachment,1,delta_cos,-0.21101730128321602,0.208611350225046,-0.15527737993568647,0.24527194538763608
bert-base-uncased,attachment,1,delta_frob,-0.1813496247874531,0.21347568226378236,-0.17245967317510089,0.19979390508280992
bert-base-uncased,attachment,1,delta_l2,-0.17993518977774395,0.24802717461204832,-0.13396420955592522,0.2682747126806643
bert-base-uncased,attachment,1,delta_token_aligned,-0.2636250524642421,0.10222099068798726,-0.2702844376855896,0.09003920467984237
bert-base-uncased,attachment,2,delta_cos,-0.17561594183122076,0.23869166396174293,-0.1468088022474796,0.24719013385321192
bert-base-uncased,attachment,2,delta_frob,-0.20936922484307546,0.18818508187211588,-0.16324632505330558,0.2138706718919295
bert-base-uncased,attachment,2,delta_l2,-0.13669823507180992,0.28619032730952826,-0.12990789458513366,0.2622525452626159
bert-base-uncased,attachment,2,delta_token_aligned,-0.2884260987145772,0.0904695118288621,-0.27639011019396886,0.08879497405437331
bert-base-uncased,attachment,3,delta_cos,-0.14385940734371636,0.24794285209668568,-0.13567322295083073,0.2455779748303453
bert-base-uncased,attachment,3,delta_frob,-0.19458281700189153,0.21647263262816321,-0.16153501724796912,0.20901894941798457
bert-base-uncased,attachment,3,delta_l2,-0.14333651353130564,0.2582302161136172,-0.1252977693771885,0.26001964241771547
bert-base-uncased,attachment,3,delta_token_aligned,-0.2302461225067667,0.14828815052927008,-0.2602537293752145,0.0941821368404342
bert-base-uncased,attachment,4,delta_cos,-0.1200269271863519,0.28921882978748636,-0.1192690708082482,0.2553896926070635
bert-base-uncased,attachment,4,delta_frob,-0.12768949393689863,0.2735312849397737,-0.14608698769018366,0.22559210324985182
bert-base-uncased,attachment,4,delta_l2,-0.11671142339527629,0.302259464071659,-0.11636410024162805,0.265587388037921
bert-base-uncased,attachment,4,delta_token_aligned,-0.1879531822659686,0.22786522461948022,-0.25271572820729626,0.10567812472115713
bert-base-uncased,attachment,5,delta_cos,-0.12634818463266742,0.284657130867487,-0.12762542559384446,0.2420411827762918
bert-base-uncased,attachment,5,delta_frob,-0.1448789151204544,0.2552876365431552,-0.1512622329655939,0.21892234537723504
bert-base-uncased,attachment,5,delta_l2,-0.12711676028485452,0.27408099832181915,-0.12208436643163406,0.24341182723797775
bert-base-uncased,attachment,5,delta_token_aligned,-0.17021484540874177,0.23464591405181423,-0.23567538623991435,0.12118488574594953
bert-base-uncased,attachment,6,delta_cos,-0.1585299079342771,0.22992779095367624,-0.15091622974974872,0.22144865193353078
bert-base-uncased,attachment,6,delta_frob,-0.17250008958170032,0.22478001158059432,-0.16985580795473962,0.19541435684801542
bert-base-uncased,attachment,6,delta_l2,-0.15761359350639767,0.24380514280286378,-0.14498139851499744,0.23668804660843187
bert-base-uncased,attachment,6,delta_token_aligned,-0.22104278557679577,0.1487742506432849,-0.24087393089258793,0.11860737075514291
bert-base-uncased,attachment,7,delta_cos,-0.15111148838720423,0.25129134923768753,-0.15467303057275933,0.2089191847220536
bert-base-uncased,attachment,7,delta_frob,-0.16978883199942615,0.2445607354360098,-0.17421134047511264,0.19558054381084883
bert-base-uncased,attachment,7,delta_l2,-0.1614578920528333,0.238015860227921,-0.15038358934936727,0.2153740713569811
bert-base-uncased,attachment,7,delta_token_aligned,-0.18587409093766313,0.24046089862775705,-0.24042822119137833,0.12869635353262254
bert-base-uncased,attachment,8,delta_cos,-0.14542018565997328,0.24483389572998288,-0.14885467643277242,0.23092226186029846
bert-base-uncased,attachment,8,delta_frob,-0.1677731830803087,0.23728042676584213,-0.170069872536699,0.2105015379907954
bert-base-uncased,attachment,8,delta_l2,-0.1406909037083145,0.2736969059984129,-0.1411612576689569,0.23900617628642798
bert-base-uncased,attachment,8,delta_token_aligned,-0.17599495733925444,0.22543839076157965,-0.2492733196744566,0.12837486153715094
bert-base-uncased,attachment,9,delta_cos,-0.1221383171410792,0.26485230268769244,-0.11180954599532676,0.26370603085082794
bert-base-uncased,attachment,9,delta_frob,-0.14445661948184096,0.2424833199125967,-0.13892054681376445,0.2360114692913872
bert-base-uncased,attachment,9,delta_l2,-0.1173945111602344,0.26811138150238395,-0.11076313787380074,0.2686961874558309
bert-base-uncased,attachment,9,delta_token_aligned,-0.19092346062376098,0.22737806523100065,-0.24814296181127746,0.144023047683829
bert-base-uncased,attachment,10,delta_cos,-0.1314070941774048,0.27671197896858185,-0.13887240857646743,0.26137510035126915
bert-base-uncased,attachment,10,delta_frob,-0.14887967605320587,0.25924961018253967,-0.15897033795515944,0.24559277120581574
bert-base-uncased,attachment,10,delta_l2,-0.1130617499318767,0.28549123253144815,-0.12037085036095789,0.2711705115635012
bert-base-uncased,attachment,10,delta_token_aligned,-0.20630760422943992,0.22127310254462246,-0.2587159728347237,0.1333828191681016
bert-base-uncased,attachment,11,delta_cos,-0.1439632891554158,0.2473862392617109,-0.1574601633352734,0.24064286211153343
bert-base-uncased,attachment,11,delta_frob,-0.13888803189554438,0.2630998563136576,-0.17029757001937545,0.2357310346060309
bert-base-uncased,attachment,11,delta_l2,-0.13384382012010404,0.2685279078002695,-0.1314482044227995,0.25479727201384944
bert-base-uncased,attachment,11,delta_token_aligned,-0.22307898395336329,0.20154992154871726,-0.27487038521189433,0.11272396357392582
bert-base-uncased,attachment,12,delta_cos,-0.16836830498100194,0.2167176058144715,-0.1825825539031638,0.21171709602706845
bert-base-uncased,attachment,12,delta_frob,-0.17589014366612513,0.22575654054231611,-0.19172869868627615,0.19472823695418717
bert-base-uncased,attachment,12,delta_l2,-0.16372225708188778,0.21142750118876924,-0.1807455027208213,0.20982054672036254
bert-base-uncased,attachment,12,delta_token_aligned,-0.26963208125372107,0.17364663090047552,-0.2945326503180456,0.10292568276196458
bert-base-uncased,negation,0,delta_cos,-0.15010030162202634,0.2648031105181712,-0.15723920342780545,0.2331601964813706
bert-base-uncased,negation,0,delta_frob,-0.17801447686409694,0.19658252541364696,-0.19752388193668488,0.16794145942007857
bert-base-uncased,negation,0,delta_l2,-0.18805153552888107,0.21975128310449532,-0.19824116573654865,0.19892301702961537
bert-base-uncased,negation,0,delta_token_aligned,-0.28734955152340985,0.06982023489552182,-0.27930461897004827,0.039123983041829236
bert-base-uncased,negation,1,delta_cos,-0.12310687977991391,0.28374540095765194,-0.12840547290819962,0.2638477647151534
bert-base-uncased,negation,1,delta_frob,-0.10230330636116299,0.31313778658516905,-0.1205090143511884,0.25503889103192495
bert-base-uncased,negation,1,delta_l2,-0.18810976329675735,0.2252758822967213,-0.2009689836981098,0.18525649603391647
