phenomenon,probe_name,model,dataset_path,layer,seed,split_type,feature_type,accuracy,macro_f1,auroc,ece,control_accuracy,control_macro_f1,selectivity,n_train,n_dev,n_test,config_sha256,solver,max_iter,C
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,0,11,random,sentence_mean,1.0,1.0,1.0,,0.445,0.4429947812123645,0.5570052187876355,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,0,13,random,sentence_mean,1.0,1.0,1.0,,0.445,0.4449861246531164,0.5550138753468836,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,0,17,random,sentence_mean,1.0,1.0,1.0,,0.5475,0.5473613794224481,0.4526386205775519,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,0,19,random,sentence_mean,1.0,1.0,1.0,,0.6375,0.636844049564526,0.363155950435474,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,0,23,random,sentence_mean,1.0,1.0,1.0,,0.5875,0.5853203400373213,0.41467965996267875,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,1,11,random,sentence_mean,1.0,1.0,0.9999999999999999,,0.5,0.49919871794871795,0.500801282051282,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,1,13,random,sentence_mean,1.0,1.0,0.9999999999999999,,0.445,0.44450005004504056,0.5554999499549594,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,1,17,random,sentence_mean,1.0,1.0,1.0,,0.4675,0.46506269188992344,0.5349373081100766,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,1,19,random,sentence_mean,1.0,1.0,1.0,,0.525,0.5248099239695878,0.4751900760304122,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,1,23,random,sentence_mean,1.0,1.0,1.0,,0.545,0.5448179271708684,0.4551820728291316,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,2,11,random,sentence_mean,1.0,1.0,1.0,,0.5,0.49998749968749223,0.5000125003125078,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,2,13,random,sentence_mean,1.0,1.0,1.0,,0.4475,0.4462506029228447,0.5537493970771553,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,2,17,random,sentence_mean,1.0,1.0,1.0,,0.4675,0.46602824033743007,0.5339717596625699,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,2,19,random,sentence_mean,1.0,1.0,1.0,,0.5275,0.5270003941663381,0.47299960583366185,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,2,23,random,sentence_mean,1.0,1.0,1.0,,0.5575,0.5568768580816774,0.4431231419183226,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,3,11,random,sentence_mean,1.0,1.0,1.0,,0.5075,0.5074722953166115,0.49252770468338847,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,3,13,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44911858974358976,0.5508814102564102,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,3,17,random,sentence_mean,1.0,1.0,1.0,,0.4525,0.4509867823187661,0.5490132176812339,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,3,19,random,sentence_mean,1.0,1.0,1.0,,0.5275,0.5266450025358304,0.47335499746416965,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,3,23,random,sentence_mean,1.0,1.0,1.0,,0.5675,0.5665219651839463,0.43347803481605374,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,4,11,random,sentence_mean,1.0,1.0,0.9999999999999999,,0.5175,0.517255610652893,0.48274438934710695,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,4,13,random,sentence_mean,1.0,1.0,1.0,,0.43,0.42827051831791163,0.5717294816820884,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,4,17,random,sentence_mean,1.0,1.0,1.0,,0.4675,0.4662958299663616,0.5337041700336385,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,4,19,random,sentence_mean,1.0,1.0,1.0,,0.5225,0.5211802530725311,0.47881974692746887,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,4,23,random,sentence_mean,1.0,1.0,1.0,,0.5575,0.55703211517165,0.44296788482835003,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,5,11,random,sentence_mean,1.0,1.0,1.0,,0.4975,0.49749685935537097,0.502503140644629,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,5,13,random,sentence_mean,1.0,1.0,1.0,,0.45,0.44688874921433064,0.5531112507856694,1600,0,400,pending,liblinear,300,1.0
attachment,attachment_probe,bert-base-uncased,data/css_pairs/attach_1500.jsonl,5,17,random,sentence_mean,1.0,1.0,1.0,,0.455,0.45478191276510604,0.545218087234894,1600,0,400,pending,liblinear,300,1.0
